,Unnamed: 0,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,fileid,performer
84,20,varba,var,0,a,2,1,refrain,0.1339010344051452,8.484086630184178,913.2583979872172,1543.0941215980129,18,MH
85,21,varba,ba,1,a,1,0,refrain,0.1835993299115834,8.72618022254912,871.2514065460431,1409.4774609262738,18,MH
86,22,valutave!,va,0,a,1,1,refrain,0.2381143547194604,8.914191435778319,607.249988802821,1424.9806480998975,18,MH
87,23,valutave!,lu,1,ʊ,2,0,refrain,0.1242927897269225,8.958885076630247,536.0308156727865,1921.1266595572008,18,MH
88,24,tullu,tul,0,u,2,1,ictus,0.1676870489320023,11.047561288342449,860.1132411976406,1620.4063689714071,18,MH
89,25,tullu,lu,1,u,1,0,x,0.1169407093001666,11.190148252185155,554.7009409793072,1981.473175174884,18,MH
90,26,ümmert,üm,0,y,2,1,x,0.1989451529930619,13.360897793319142,651.5449812146256,2102.7307742340577,18,MH
91,27,ümmert,mert,1,e,2,0,refrain,0.1573994829869427,13.49197500382028,923.6995582067068,1595.244060416008,18,MH
92,28,"ilma,",il,0,i,2,1,refrain,0.2122526002306841,13.694749577277214,937.2301907286084,1632.06301551564,18,MH
93,29,"ilma,","ma,",1,a,2,0,refrain,0.2259643189902824,13.91558356255637,928.077565002458,1615.7106641812672,18,MH
94,30,ümmert,üm,0,y,2,1,refrain,0.2089466623782918,14.01154806543952,765.2996379314253,1541.4779000388155,18,MH
95,31,ümmert,mert,1,e,2,0,refrain,0.1144217510359517,14.099098480510044,898.5578718952565,2239.425970883808,18,MH
96,32,"otsa,",ot,0,o,2,1,refrain,0.1646138938934669,14.278038234132731,477.6230088858817,1441.2849331924208,18,MH
97,33,"otsa,","sa,",1,a,2,0,refrain,0.2049937658531533,14.51575570552648,549.1185851538304,1271.9705619581637,18,MH
98,34,läbi,lä,0,æ,1,1,refrain,0.1615384732666207,15.874774444966643,958.359083185586,2255.550892779825,18,MH
99,35,läbi,bi,1,ɪ,1,0,ictus,0.2073178293412461,16.067299468808947,833.8515537411046,1554.969160835432,18,MH
100,36,"sipa-sopa,",si,0,i,2,1,x,0.1633156085490128,16.498883316882345,568.6668994204416,2007.1628704933487,18,MH
101,37,"sipa-sopa,",si,0,o,2,1,ictus,0.1760904469155377,16.84068940524887,877.1120826846709,1501.24526993587,18,MH
102,38,"sipa-sopa,",pa,1,a,1,0,ictus,0.1947704733294131,16.70895294499804,704.1629905534736,980.2874825557684,18,MH
