,word,syll,foot,segment,quantity,stressed,ictus,duration,f1,f2,song,performer,euclid
60,"pesitama,",si,1,ɪ,2,0,off,0.1033124789705226,353.4218408920733,1550.8501676249018,77,LO,254.88951894729811
61,korjama.,kor,0,o,2,1,ictus,0.1313107437667895,643.7509269153632,943.2812094471276,77,LO,478.34903159990165
62,korjama.,ja,1,a,1,0,off,0.1491347169764907,861.6845435772103,1374.306974916369,77,LO,294.99872622145614
63,pesa,pe,0,e,1,1,ictus,0.22287224419496,553.7521375016495,1248.6012535140362,77,LO,168.00247903180644
64,pesa,sa,1,ɑ,1,0,off,0.1405500639067298,960.4259324549524,1283.932309341856,77,LO,412.46515144549466
66,valmis,mis,1,i,2,0,off,0.0940809920481484,421.8152219201344,1300.3733118719078,77,LO,187.57226876080165
67,"saanud,",saa,0,aː,2,1,ictus,0.2505329718527207,872.6660066920683,1493.4529766926232,77,LO,312.81814889553175
68,"saanud,","nud,",1,u,2,0,off,0.1052205053598172,314.6405636047397,1126.460494607127,77,LO,385.7007185800656
69,mune,mu,0,u,1,1,ictus,0.174572352971289,696.2600330295256,1326.7095319340226,77,LO,154.8631834487492
70,mune,ne,1,ɛ,1,0,off,0.1987779475252367,568.6677926012543,918.817182476918,77,LO,497.0358733123162
71,munema;,mu,0,u,1,1,ictus,0.2188565280833359,398.4051629949872,814.5492968750366,77,LO,625.2052802276202
72,munema;,ne,1,ɛ,1,0,off,0.1884935418485653,650.412375486929,739.6368604795166,77,LO,681.023896573126
73,munad,mu,0,u,1,1,ictus,0.1566129283532191,537.8947071619014,1068.5301702231232,77,LO,348.76842500602754
74,munad,nad,1,ɑ,2,0,off,0.1325186316834887,628.4955905516875,1406.6333653332067,77,LO,59.58712563919011
75,"munetud,",mu,0,u,1,1,ictus,0.1827150830787545,629.397514311862,776.5740423958339,77,LO,642.0662906237715
76,"munetud,",ne,1,ɛ,2,0,off,0.1345264897393008,646.5011479632207,1220.2236273092442,77,LO,210.1911391068502
77,akkas,ak,0,a,3,1,ictus,0.1224793414044427,885.9329037900558,1259.7409869742355,77,LO,352.7333372238434
78,akkas,kas,1,a,2,0,off,0.078306464176606,765.6420087594487,946.02209777568,77,LO,509.0801256251163
79,poegi,poe,0,oe,2,1,off,0.2549979730879315,563.0331224627018,1462.2636025495424,77,LO,46.877386329728516
80,poegi,gi,1,i,1,0,off,0.1076389616133326,457.81656666837625,784.2244165392325,77,LO,641.4475033071883
81,pojad,po,0,o,1,1,off,0.272863217973466,733.426060516912,992.0136644991186,77,LO,454.38919195369635
82,pojad,jad,1,ɑ,2,0,off,0.1153353707398281,742.7286617311732,1567.9294906098,77,LO,230.41720267332445
83,"audunud,",au,0,au,2,1,ictus,0.3135556798916994,714.8208553185282,1137.76073969136,77,LO,313.71387642265177
84,"audunud,",du,1,u,1,0,off,0.2037092262417843,489.8110979987328,948.1521012072786,77,LO,474.4615079573286
85,neida,nei,0,ei,2,1,ictus,0.2584135586380256,617.1038843327434,2154.4170131850046,77,LO,740.0893471380007
86,neida,da,1,a,1,0,off,0.1284604115692786,691.2188031507509,921.4324262002018,77,LO,509.1519210359349
87,"kasvatama,",kas,0,a,2,1,ictus,0.1256668675568448,854.7502319383758,1169.028194563902,77,LO,377.1179365509908
88,"kasvatama,",va,1,a,2,0,off,0.1292067793190199,700.401110602024,1061.8991140738071,77,LO,377.33922872668205
89,"kasvatama,",kas,0,a,2,1,ictus,0.1463812857579824,708.4825153960028,1255.961260707245,77,LO,211.76932988587265
90,"kasvatama,",va,1,a,2,0,off,0.1150471322703623,678.4925718809684,1110.9682011489176,77,LO,323.7377992340384
91,kangutama,kan,0,a,2,1,ictus,0.1946951469190594,799.1850499667836,1036.8212161379577,77,LO,443.1273366319767
92,kangutama,gu,1,u,2,0,off,0.1097372646270997,411.2003135322197,925.5593780842936,77,LO,515.2529989260729
93,pojad,po,0,o,1,1,ictus,0.2576884753462565,658.9145061222996,1068.5979774633222,77,LO,358.5497209113976
94,pojad,jad,1,ɑ,2,0,off,0.1037876122144325,699.1182666611489,1025.6353845583665,77,LO,411.1415595309106
95,"kasvatud,",kas,0,a,2,1,ictus,0.1432629561103766,942.5875802711532,1158.203493966647,77,LO,453.3025833520564
96,"kasvatud,",va,1,a,2,0,off,0.1139057753342172,662.6062902604435,1063.7912183591354,77,LO,364.13217269600824
97,akkas,ak,0,a,3,1,ictus,0.1291373697685855,823.3248013604218,1179.3911869235662,77,LO,346.8096145134673
98,akkas,kas,1,a,2,0,off,0.0720000000000027,674.5316801942581,1013.5022249767632,77,LO,415.801238117264
99,neida,nei,0,ei,2,1,ictus,0.241001238907728,490.7975391154909,1672.893945383203,77,LO,268.8575922740855
100,neida,da,1,a,1,0,off,0.1577454792265058,765.5728904141204,1491.0277957695314,77,LO,209.8728221224551
101,peale,pea,0,ea,2,1,ictus,0.2544087924216569,704.2265675530726,1484.3241913224454,77,LO,151.01576481176
102,peale,le,1,e,1,0,off,0.2424552322419231,678.0771808620693,1950.367210021168,77,LO,545.4063141460524
104,"taevudes,",tae,0,ae,2,1,off,0.3322711876417372,727.2009572543852,1311.1439628894234,77,LO,189.19222457969934
105,"taevudes,",vu,1,u,1,0,ictus,0.1374779240465926,459.2907296665951,950.2143404441676,77,LO,478.5315080038789
106,kiviks,ki,0,i,1,0,ictus,0.2475014966032773,358.5724903020139,1241.1188124261298,77,LO,273.9986805479792
107,kiviks,viks,1,ɪ,3,1,off,0.0815467358750652,362.49643934845767,1657.8628444934034,77,LO,318.5463864822057
108,peale.,pea,0,ea,2,1,ictus,0.2546547190484602,662.0115695479233,1356.1380734995157,77,LO,110.00399918390751
110,"kul´likene,",li,1,i,2,0,off,0.1543827770318955,598.3386037770322,1899.8674742710475,92,LK,471.0163732250303
111,mis,mis,0,i,3,1,ictus,0.1625982234707996,661.9235303441334,1356.112457365561,92,LK,88.43590827742398
112,see,see,0,eeː,3,1,off,0.2002483612435299,614.9608074955822,1666.8598469420867,92,LK,241.4618722247921
114,kul´li,li,1,i,1,0,off,0.2098455948817839,617.4468307939469,2406.151184526856,92,LK,970.537926048122
115,meile,mei,0,ei,2,1,ictus,0.1941539041904469,571.8772716819909,1487.200635374971,92,LK,131.21031611668576
