,word,syll,foot,segment,quantity,stressed,ictus,duration,f1,f2,song,performer
353,ranitsa,nit,1,ɪ,2,0,ictus,0.1098680173142341,529.5765716361998,1096.5319643551024,41,LK
354,ja,ja,0,a,3,1,off,0.1164597969322187,723.4262828516165,1235.9425381374122,41,LK
355,ranitsast,ra,0,a,1,1,ictus,0.3579029135600038,486.78988729360543,1194.1509876354282,41,LK
356,ranitsast,nit,1,ɪ,2,0,ictus,0.1058938809528484,460.2317459487992,2370.3095106854425,41,LK
357,sain,sain,0,ai,3,1,off,0.1907242590254867,656.5846889590306,2159.2157307534617,41,LK
358,rapsuvitsa,rap,0,a,2,1,off,0.1603037605720132,1055.0112742645508,2231.1428767502566,41,LK
359,rapsuvitsa,su,1,u,1,0,ictus,0.2369793156918547,1024.6427831621145,2025.819512669062,41,LK
360,lapse,lap,0,a,2,1,ictus,0.1752854710439777,516.573723809499,1185.853450765745,41,LK
361,lapse,se,1,e,1,0,off,0.2121876754742899,831.390455459225,1500.7657957055071,41,LK
362,puksu,puk,0,u,2,1,ictus,0.1900463528160969,849.2540508881939,1300.984002003226,41,LK
363,puksu,su,1,u,1,0,ictus,0.2527801003476284,596.2474157124897,1410.5287095429803,41,LK
364,pihta,pih,0,i,2,1,ictus,0.1506351454404111,587.1676111444574,1450.9366583709848,41,LK
365,pihta,ta,1,a,1,0,off,0.1778246773970551,576.144631465915,1543.3356680331117,41,LK
366,peks(a) –,peks,0,e,2,1,off,0.1616455472673692,516.2600507182217,1458.1753708343872,41,LK
367,peks(a) –,(a) –,1,a,2,0,off,0.1015526821248187,620.5521937274488,1992.7506356106865,41,LK
368,pandi,pan,0,a,2,1,off,0.1770264394799134,573.1809227425911,989.590104113264,65,LK
369,pandi,di,1,i,1,0,off,0.1290391054167869,552.0437984432056,995.7388935868458,65,LK
370,mind(e),mind,0,i,2,1,ictus,0.0852095252893585,550.604532162798,923.7839706667272,65,LK
371,mind(e),(e),1,e,2,0,ictus,0.0677368533412554,559.4320509858421,889.6181161026562,65,LK
372,paju,pa,0,a,1,1,off,0.3866169768428902,565.8746365620035,1092.536073751702,65,LK
373,paju,ju,1,ʊ,1,0,off,0.2699159379879798,568.7582195290371,1009.1161121596166,65,LK
374,"raiumaie,",rai,0,ai,2,1,ictus,0.291411765833784,602.0937219692717,963.0695419972548,65,LK
375,"raiumaie,",u,1,u,1,0,off,0.3494418144413771,1048.8256940395308,2579.920772310121,65,LK
376,saare,saa,0,aː,2,1,off,0.401021531643881,519.2395231619329,1113.7366875143716,65,LK
377,saare,re,1,e,1,0,off,0.2190923328085201,750.1635016843467,916.1259251364584,65,LK
378,juuri,juu,0,uː,2,1,ictus,0.3297794497162059,688.2599372063066,1739.861978584065,65,LK
379,juuri,ri,1,i,1,0,ictus,0.2512264213793855,803.4522081526424,1401.109456618745,65,LK
380,"juksimaie,",juk,0,u,2,0,ictus,0.2117315353673312,857.3070515111099,1368.8257377487298,65,LK
381,"juksimaie,",si,1,i,1,0,off,0.2697655103865592,507.0866713661333,1532.6698588865906,65,LK
382,tamme,tam,0,a,2,1,ictus,0.2628181345509759,795.1949368598978,1374.2864738258927,65,LK
383,tamme,me,1,e,1,0,off,0.2255855654895882,871.5471399969551,1449.209921004839,65,LK
384,tüve,tü,0,y,1,1,off,0.4314597708878516,860.9371844069863,1371.7717210714547,65,LK
385,tüve,ve,1,ɛ,1,0,off,0.2006939008591075,1025.602073724834,1130.543421623869,65,LK
386,tampimaie.,tam,0,a,2,0,ictus,0.1686416363368756,1044.406337177945,1527.065772610008,65,LK
387,tampimaie.,pi,1,i,1,0,off,0.2821269118532932,547.6402084538884,1510.9752086050885,65,LK
388,Leidsine,leid,0,ei,2,1,off,0.3558264925726853,656.2230777991766,1382.1845686422969,65,LK
389,Leidsine,si,1,i,1,0,ictus,0.0476705348901198,863.4817725837308,1591.8017244038303,65,LK
390,ma,ma,0,a,3,1,ictus,0.4140109153676796,407.115972339771,1037.9035528993538,65,LK
391,siis,siis,0,iiː,3,1,ictus,0.1785943757411878,403.183183945868,1050.0882707052838,65,LK
392,"kogemata,",ko,0,o,1,1,off,0.3727984522744521,435.4676774052416,2008.2890020872087,65,LK
393,"kogemata,",ge,1,ɛ,1,0,off,0.3085228570547187,475.2043801668742,1023.6116963198658,65,LK
394,kus,kus,0,u,3,1,off,0.2632812391709649,576.0180067820647,926.9545340309036,65,LK
395,aga,a,0,a,1,1,off,0.1031082785795334,572.3052657103486,911.0941655017688,65,LK
396,aga,ga,1,ɑ,1,0,off,0.1336037414966071,572.5813684052964,909.733834379386,65,LK
398,oli,o,0,o,1,1,off,0.1281928342656542,706.0333616947207,1045.5537082543644,65,LK
399,oli,li,1,ɪ,1,0,off,0.1392535629256386,540.2116817571894,1057.118651035331,65,LK
400,"sarapuida,",sa,0,a,1,0,off,0.3795034017322365,932.0332118022944,1468.6044030080782,65,LK
401,"sarapuida,",ra,1,ɑ,2,0,ictus,0.2155676968932596,967.3165034939184,1443.8853534849636,65,LK
402,teine,tei,0,ei,2,1,off,0.4216250542176993,823.3598322902836,1406.8943873687354,65,LK
403,teine,ne,1,e,1,0,off,0.2398163783707332,771.3480863963856,1623.4999088137054,65,LK
405,oli,o,0,o,1,1,ictus,0.1106884089249362,955.979113625468,1499.9579505038687,65,LK
406,oli,li,1,ɪ,1,0,ictus,0.1151330992235699,928.562043932098,1271.2178264945571,65,LK
407,"türnapuida,",tür,0,y,2,0,off,0.2631193947373589,911.6008580583964,1570.4555371912638,65,LK
408,"türnapuida,",na,1,a,2,0,off,0.2504389419789419,558.1015429736333,1553.9503293694768,65,LK
410,kolmas,mas,1,a,2,0,off,0.1968736028228406,824.9153699040809,1408.447327834355,65,LK
412,oli,o,0,o,1,1,off,0.1133627266702106,869.2120008811913,1565.1141909711282,65,LK
413,oli,li,1,ɪ,1,0,ictus,0.1358772197866997,841.9172396080492,1502.9730248676185,65,LK
414,"kohlapuida,",koh,0,o,2,0,off,0.2798164988964657,872.5960949028848,1144.5238047516382,65,LK
415,"kohlapuida,",la,1,a,2,0,off,0.2183933649923588,919.2173909408872,1427.7860148385455,65,LK
416,neljas,nel,0,e,2,1,ictus,0.2872646603340314,987.7507551358328,1479.8436384347697,65,LK
417,neljas,jas,1,a,2,0,off,0.2289614203133396,379.3735636252792,1779.4499939930138,65,LK
418,noori,noo,0,oː,2,1,ictus,0.4157777978518808,794.0037315792856,1243.5696237543302,65,LK
419,noori,ri,1,i,1,0,ictus,0.2230080915751031,759.4888227267481,1251.6224844231474,65,LK
420,"neidusida,",nei,0,ei,2,1,off,0.3288424401192173,692.8023504164087,1381.614249908255,65,LK
421,punapõs ki,pu,0,u,1,1,off,0.4190134389523194,828.6942447453602,1418.8101607475835,65,LK
422,punapõs ki,na,1,ɑ,2,0,off,0.291285654427142,890.4859864663383,1410.3479917232996,65,LK
423,piigakesi.,pii,0,iː,2,1,off,0.3898409510378258,707.0267193679565,1079.9398140149603,65,LK
424,piigakesi.,ga,1,a,2,0,off,0.2847153013197641,661.1037137866756,1069.148208199564,65,LK
425,Ööd,ööd,0,øøː,3,1,ictus,0.5013352468684076,941.4725164399488,1289.5350536649732,65,LK
427,ööles,öö,0,øː,2,1,off,0.4602053346591788,835.5314094463212,1431.2960412348311,65,LK
428,ööles,les,1,e,2,0,off,0.2428077225809204,835.9828310918119,1423.9997790565249,65,LK
429,"virvekirja,",vir,0,i,2,1,ictus,0.22304430330108,840.3420468681126,1422.965692110936,65,LK
430,"virvekirja,",ve,1,e,1,0,ictus,0.2738645243063899,533.7498245465468,1565.2910776694562,65,LK
431,sukad,su,0,u,2,1,off,0.2724000902198185,823.9867420657711,1406.9487023616452,65,LK
432,sukad,kad,1,a,2,0,off,0.2059308390022636,832.3123716496451,1418.007708599736,65,LK
433,jalas,ja,0,a,1,1,off,0.3462285444129236,916.9865873436348,1531.3795107874184,65,LK
434,jalas,las,1,ɑ,2,0,off,0.1826035165731099,898.8436685602188,1381.8713450136786,65,LK
435,saarekirja.,saa,0,aː,2,1,off,0.4079060766801632,920.716725599867,1435.6957709128362,65,LK
436,saarekirja.,re,1,e,1,0,off,0.3065130456762972,921.4920886324322,1424.2203423405836,65,LK
437,Ei,ei,0,eiː,3,1,ictus,0.525799793940223,750.5688667219814,1689.1719585801177,65,LK
440,julgust,gust,1,u,2,0,ictus,0.1815972559237764,551.6331584899918,1649.7125683367194,65,LK
441,juure,juu,0,uː,2,1,ictus,0.3781477904400816,943.6532231152612,1444.8697665407572,65,LK
442,juure,re,1,e,1,0,ictus,0.3277866210361679,547.352784907333,945.5549751956238,65,LK
443,"minna,",min,0,i,2,1,ictus,0.1879442750489204,516.3108101208786,1293.8395012018318,65,LK
444,"minna,","na,",1,a,2,0,off,0.1431267940757123,450.5405615599456,1274.2905532343104,65,LK
445,südant,sü,0,y,1,0,ictus,0.3855766164496117,924.8044725676052,1529.491576529913,65,LK
446,südant,dant,1,ɑ,3,1,ictus,0.1721324180578705,968.1277167245152,1529.9532678809685,65,LK
448,sülle,le,1,e,1,0,off,0.3085789686169136,652.7903749412654,1074.8951378962524,65,LK
449,rabadaie.,ra,0,a,1,0,ictus,0.3337833711123039,748.5424512744432,1077.5183137696226,65,LK
450,rabadaie.,ba,1,ɑ,1,0,ictus,0.3198757306493007,686.9167582027869,1132.2559553492547,65,LK
451,"Lõpe,",lõ,0,ɵ,2,1,ictus,0.2930817813158489,748.7152568393128,1597.3670281603831,9,MH
452,"Lõpe,","pe,",1,e,2,0,off,0.2907509959489728,660.9583279907339,1109.8046202392766,9,MH
453,"linakene,",li,0,i,1,1,ictus,0.2421110367391794,814.8866113783112,1673.9399578145628,9,MH
454,"linakene,",na,1,ɑ,2,0,off,0.3185671536041838,854.1053011067995,1797.539641507405,9,MH
455,kui,kui,0,uiː,3,1,ictus,0.3822805843250201,699.3848803289767,1774.5653123997251,9,MH
456,siia,sii,0,iː,2,1,off,0.2878182779998228,529.0672937698051,1842.441343430407,9,MH
458,"jätan,",jä,0,æ,2,1,off,0.219520359737249,664.3202098039197,1953.014478767437,9,MH
459,"jätan,","tan,",1,a,2,0,off,0.3279892433721247,691.6455645780336,1816.3775512565207,9,MH
460,siia,sii,0,iː,2,1,ictus,0.4574198947030243,383.6778063048216,2078.699668353998,9,MH
461,siia,a,1,a,1,0,ictus,0.2102073885109607,356.37969162555913,2014.048402263372,9,MH
462,jätan,jä,0,æ,2,1,off,0.1709462992459709,719.5494245991521,2149.998456296374,9,MH
463,jätan,tan,1,a,2,0,off,0.2269446870304516,725.9939696292532,2110.78479465122,9,MH
464,tsirgu,tsir,0,i,2,1,ictus,0.268398882666105,776.1254492047445,1733.1184091361113,9,MH
465,tsirgu,gu,1,u,1,0,off,0.2782015180980739,806.7685694553685,1055.645240967047,9,MH
466,"süia,",süi,0,yi,2,1,ictus,0.4603699984393952,673.9739998333388,2191.745674869995,9,MH
