,Unnamed: 0,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,euc,fileid,performer
167,107,lõõtsu,lõõt,0,ɵː,2,1,off,0.219680900342297,46.21843968990382,1019.4536779385476,2150.191378047648,1130.7377001091004,18,MH
168,108,lõõtsu,su,1,u,1,0,off,0.1757447202738404,46.34895598951895,816.6272489246062,2089.535534712724,1272.9082857881176,18,MH
169,109,lõke,lõ,0,ɵ,2,1,ictus,0.1886671261763126,46.48076452972431,909.7368404941692,1613.5410378881404,703.8041973939712,18,MH
170,110,lõke,ke,1,e,1,0,off,0.1877125842747915,46.672353835769854,881.0714326641539,1854.0129223548229,972.941489690669,18,MH
171,111,"põrmandulle,",põr,0,ɵ,2,1,off,0.1654067955518456,46.77984614519281,849.236747078176,1967.188809396837,1117.9520623186615,18,MH
172,112,"põrmandulle,",man,1,a,2,0,off,0.1343840703826231,46.916814696755935,750.7670381218969,2436.2401668978937,1685.4731287759969,18,MH
173,113,võta,võ,0,ɵ,2,1,off,0.0982102848589079,48.595089372266,770.2151604997906,1787.9281000158242,1017.7129395160335,18,MH
174,114,võta,ta,1,a,1,0,off,0.1843386824717754,48.82982543775747,721.1687347275621,1924.151330058076,1202.982595330514,18,MH
175,115,pirdu,pir,0,i,2,1,off,0.1395619837468587,48.92518476190045,787.7330170265649,1641.1171454266494,853.3841284000845,18,MH
176,116,pirdu,du,1,u,1,0,off,0.190070932539669,49.1554102536848,1148.8146364766094,1262.590163367254,113.77552689064464,18,MH
177,117,"pistussesta,",pis,0,i,2,1,off,0.1640298748802422,49.25466027474171,1155.699246253425,1412.8472117816384,257.1479655282135,18,MH
178,118,"pistussesta,",tus,1,u,2,0,off,0.1524843896493593,49.41498278801392,837.6310197936797,1561.7798066645337,724.148786870854,18,MH
179,119,võta,võ,0,ɵ,2,1,off,0.1240550966638949,51.16182876618261,942.0018327761132,2126.104067594839,1184.1022348187255,18,MH
180,120,võta,ta,1,a,1,0,off,0.2531552673822119,51.43953660477954,638.648360130249,1775.4686955852155,1136.8203354549664,18,MH
181,121,halgu,hal,0,al,2,1,ictus,0.2620863592116222,51.61334761217011,699.3096237023477,1088.7588293604358,389.4492056580881,18,MH
182,122,halgu,gu,1,u,1,0,ictus,0.1634105721839915,51.69452601827143,581.0590292881811,1053.0581893468702,471.9991600586891,18,MH
183,123,ahju,ah,0,a,2,1,off,0.2196809003422828,51.83250163252171,454.4890268255899,1687.6958303115084,1233.2068034859185,18,MH
184,124,ahju,ju,1,u,1,0,off,0.1186091897149452,51.94981858164642,340.6851394398,2295.446651983425,1954.7615125436253,18,MH
185,125,päälta!,pääl,0,æːl,3,1,ictus,0.2455257121472698,52.1701286185311,616.5624095944268,1904.352122851505,1287.7897132570783,18,MH
186,126,päälta!,ta!,1,a,2,0,ictus,0.2091979580339682,52.31213006587213,703.6429969509333,2532.1286496207968,1828.485652669864,18,MH
187,127,ole,o,0,ol,1,1,off,0.1717219422999392,53.76645068203432,916.937374076799,1837.9496379659115,921.0122638891124,18,MH
188,128,ole,le,1,ɛ,1,0,off,0.070399965228816,53.75098967611317,809.3468695166425,1821.3504956515712,1012.0036261349288,18,MH
