,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
211,"pühkijaksa,",ki,CV,1,i,1,0,x,0.1677774043940019,200.24370105615407,411.81971229324665,2062.7905222023796
212,õvve,õv,VCC,0,ɵ,2,1,ictus,0.1888146438869569,204.00345109642387,686.4730360162511,1579.7880986394166
213,õvve,ve,CV,1,e,1,0,x,0.14364582628837752,204.34160178107854,822.6474918078371,1402.3864019429002
214,"pühkijaksa,",püh,CVC,0,y,2,1,ictus,0.18492129691242098,204.59582974827276,442.81346798300837,1784.5646323874257
215,"pühkijaksa,",ki,CV,1,i,1,0,x,0.13662200900114385,204.96589901470463,400.8879603185765,1685.7106838896718
216,vennanaistel,ven,CVC,0,e,2,1,ictus,0.1553788001027101,208.15597065005136,805.2512492580249,1933.7209490319865
217,vennanaistel,na,CV,1,a,1,0,x,0.1655553598963877,208.49075001215124,1116.397304906663,1917.867450719514
218,vemmeldada!,vem,CVC,0,e,2,1,ictus,0.15381643102816156,209.3036048181445,706.2564814387817,2130.406454605346
219,vemmeldada!,mel,CVC,1,e,2,0,x,0.10948958861354186,209.59427236018166,735.159503790007,2131.1373212017193
220,ole,o,V,0,o,1,1,ictus,0.20293327357319413,213.35510687173607,746.7677358880305,1128.7726012367139
221,ole,le,CV,1,ɛ,1,0,x,0.1571525300319081,213.61703512954185,860.4657464372962,1638.9886362068744
222,"näl´lasandi,",näl´,CVCCC,0,æ,2,1,ictus,0.184574935657281,213.8644987588876,992.5465103380666,1818.2373213973856
223,"näl´lasandi,",la,CV,1,a,1,0,x,0.15559440624508625,214.18945355967097,962.9699570217225,1754.035376742281
224,pal´lalt,pal´,CVCCC,0,a,2,1,ictus,0.1459695476578986,217.87885238329875,897.3742051829998,1575.8192865303283
225,pal´lalt,lalt,CVCCC,1,a,2,0,x,0.1202418228332931,218.17394866411593,852.8709301226744,1377.4775029958414
226,lasandi.,las,CVC,0,a,3,1,x,0.17786400009811132,218.7518623765523,1036.2428484241275,1643.4837803754142
227,lasandi.,an,VC,1,ɑ,2,1,ictus,0.15704086801190442,219.02536444274057,1183.283438247546,1566.7367105841622
