,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
73,anna,an,0,a,2,1,ictus,0.20478876368137833,36.65785765713968,961.8201875999441,1499.9889033942247
74,anna,na,1,a,1,0,x,0.18038162503863475,36.82200139925401,890.8812042070188,1575.1274248235661
75,penki!,pen,0,e,2,1,x,0.14697276641686585,36.92312140515851,369.28554138066823,1983.103617513845
76,penki!,ki!,1,i,2,0,ictus,0.1801284575092268,37.14615801930622,402.94531196250097,1714.3329938375766
77,"Perenaine,",pe,0,e,1,0,x,0.2859933815868487,38.6363210146887,915.9459468957234,1543.4929650546385
78,"Perenaine,",re,1,ɛ,1,0,x,0.20228063588412226,38.74927768330486,861.787159949199,1409.3926677986667
79,"linnukene,",lin,0,i,2,1,refrain,0.17740048008636222,39.18192114024541,1153.151968024062,1634.0473966728184
80,"linnukene,",nu,1,u,2,0,refrain,0.1006122293592,39.29839093654255,971.837823852997,1306.5277183215132
81,tagant,ta,0,a,1,0,refrain,0.21306119158418824,41.15338196830754,865.0697907200285,2375.555338480966
82,tagant,gant,1,ɑ,3,1,refrain,0.12739580048283017,41.21954585456266,900.6586504422793,2182.77824057953
83,laudjas,laud,0,au,2,1,ictus?,0.22987822007135605,41.47465122019598,828.4873407979328,1278.9936539443677
84,laudjas,jas,1,a,2,0,ictus?,0.061156453139901146,41.50024915114455,681.8139819279412,1010.8070375173198
85,"tasane,",ta,0,a,1,1,x?,0.22391153004448938,41.77168030281187,835.8313224545001,2189.8584315632793
86,"tasane,",sa,1,ɑ,1,0,x?,0.2101312966260167,41.93229778058094,859.6317186934277,2177.2644443563263
87,puhu,pu,0,u,1,1,x,0.21404758598966112,43.64621582831527,655.3656094526733,1542.9199332803707
88,puhu,hu,1,ʊ,1,0,x,0.1943836376766086,43.79568655064415,695.130783653325,2072.1535889737893
89,tuli,tu,0,u,1,1,refrain,0.268786042771751,44.02257334538864,928.1731111168818,1511.806685501268
90,tuli,li,1,ɪ,1,0,refrain,0.1887291620748215,44.111514649305825,947.4039666424541,1614.8337623402444
91,"tubadesse,",tu,0,u,1,1,refrain,0.22095234682804232,44.28303841709119,934.2616213804898,1633.9775020735572
92,"tubadesse,",ba,1,ɑ,1,0,refrain,0.1864285426361647,44.41219909829834,768.204499159223,1621.046561934407
93,lõõtsu,lõõt,0,ɵɵ,2,1,refrain,0.21968090034229704,46.21843968990382,1019.4536779385477,2150.191378047648
94,lõõtsu,su,1,u,1,0,refrain,0.16295213237130213,46.34255969556768,691.3004127976193,2055.475179180756
95,lõke,lõ,0,ɵ,2,1,ictus,0.1371088223620518,46.444454461068396,852.4903886064075,1622.6448507890532
96,lõke,ke,1,e,1,0,x,0.16709231654532175,46.656703680833346,1084.7149704116264,1899.4421201161942
97,"põrmandulle,",põr,0,ɵ,2,1,x,0.15375734735070523,46.77402142109224,824.1353332751538,2046.3163867358176
98,"põrmandulle,",man,1,a,2,0,ictus,0.14519063174606117,46.92762125811937,736.1691062563416,2421.81941488468
99,võta,võ,0,ɵ,2,1,x,0.13868419224139927,48.61532632595724,762.0303905880163,1806.7974322314776
100,võta,ta,1,a,1,0,x,0.1701593481978989,48.82273577062053,747.1918928683207,1955.4819580594753
101,pirdu,pir,0,i,2,1,off,0.1395619837468587,48.925184761900454,787.7330170265649,1641.1171454266494
102,pirdu,du,1,u,1,0,off,0.18136653568267036,49.1510580552563,1153.8027189904517,1258.8712331995387
103,"pistussesta,",pis,0,i,2,1,off,0.15247196336957813,49.24888131898638,1135.5824945442232,1430.360614615125
104,"pistussesta,",tus,1,u,2,0,off,0.13715254579517477,49.40731686608682,847.4641169383805,1611.3033223350967
105,võta,võ,0,ɵ,2,1,off,0.13710882236203759,51.1621220014125,944.3250132138376,2122.829719468706
106,võta,ta,1,a,1,0,off,0.20457530395364643,51.398755123544326,658.9550654291734,1631.1450761914132
107,halgu,hal,0,a,2,1,ictus,0.12517430572283672,51.476435558681324,404.2558201532822,1477.8059348492502
108,halgu,gu,1,u,1,0,ictus,0.16341057218399158,51.694526018271425,581.0590292881811,1053.0581893468702
109,ahju,ah,0,a,2,1,x,0.1808807750767869,51.813101569888964,382.1584288581932,1778.8554349143003
110,ahju,ju,1,u,1,0,x,0.1299197770044458,51.95547387529117,337.16122305359556,2329.528248694882
111,päälta!,pääl,0,ææ,3,1,ictus,0.17874158134240758,52.109599500733445,625.4734422196789,1996.9414449707936
112,päälta!,ta!,1,a,2,0,ictus,0.16078228809361406,52.272999665421615,606.0036987615717,1682.252549664525
113,pirdu,pir,0,i,2,1,x,0.12132651187432941,53.873947856075446,958.9165794277902,1617.8663622974914
114,pirdu,du,1,u,1,0,refrain,0.14310469464908238,54.071304243026056,960.7037566702043,1315.3261575849426
