,word,word_dur,syll,quantity,stress,segment,seg_duration,seg_midpoint,ictus,f1,f2,f3
62,"man´nipil´li,",1.187246764466476,ni,2,0,(i) p,0.11828999667963291,7.655455908689662,ictus,1005.1566783137243,1366.4202474313768,2368.9097068164097
63,"man´nipil´li,",1.187246764466476,pil´,2,0,(p) i,0.1531828795031105,7.791192346781035,ictus,691.9538705424603,1352.913858901741,2555.7655026325806
64,"man´nipil´li,",1.187246764466476,pil´,2,0,(i) l,0.0628171204968897,7.899192346781034,ictus,494.27843634233756,1080.1165073839954,2229.047462909946
65,"man´nipil´li,",1.187246764466476,pil´,2,0,l,0.14700000000000024,8.004100907029478,ictus,491.28865914201947,1272.654553242963,2646.4075302736605
66,"man´nipil´li,",1.187246764466476,pil´,2,0,(´) i,0.1306900917859437,8.142945952922451,off,481.4564579996288,1336.9718239287488,2535.7083292826733
67,petsariinist,1.486145514858464,pet,2,0,p,0.12678502204299846,14.118600619801642,ictus,493.3416780720971,1349.93698391546,2765.078673435687
68,petsariinist,1.486145514858464,pet,2,0,e,0.18297099495626412,14.273478628301273,ictus,433.912788401455,956.5278221513723,2848.1247094049427
69,petsariinist,1.486145514858464,pet,2,0,t,0.10192419621606064,14.415926223887435,ictus,456.8534232293402,1138.310265673166,2794.3536833952953
70,petsariinist,1.486145514858464,sa,1,0,s,0.10263679651440327,14.518206720252667,ictus,440.7381358351105,1311.9761667173925,2563.642554661199
71,petsariinist,1.486145514858464,sa,1,0,a,0.20794216616402394,14.673496201591881,ictus,549.7501506298224,1167.0743238787784,2431.0750639439457
72,petsariinist,1.486145514858464,rii,2,1,r,0.0726952288215692,14.813814899084678,ictus,576.5776402518759,1341.5216201485582,2343.9557935934963
73,petsariinist,1.486145514858464,rii,2,1,iː,0.3110679558876459,15.005696491439284,ictus,683.8510967144798,2201.1816639375247,2812.5290502183784
74,petsariinist,1.486145514858464,nist,2,0,n,0.05917053508732373,15.19081573692677,off,852.2662016028439,1673.7037786669182,1921.1058108471434
75,petsariinist,1.486145514858464,nist,2,0,i,0.16060573809416567,15.300703873517515,off,725.2929923690949,1407.240889799409,2116.92594727288
76,petsariinist,1.486145514858464,nist,2,0,s,0.06931405538800917,15.415663770258602,off,975.9068842157565,2604.119079681341,2778.3102258225185
77,petsariinist,1.486145514858464,nist,2,0,t,0.0910328256859998,15.495837210795607,off,391.8744106011539,2141.227739474845,2811.53798638153
78,sain,0.30780471671353027,sain,3,1,s,0.0348029425479659,15.55875509491259,ictus,435.1043107792784,1340.708620432115,2733.8025428099863
79,sain,0.30780471671353027,sain,3,1,a,0.1193853839268062,15.635849258149975,ictus,374.3712304092814,1032.0059446189518,2573.571635895326
80,sain,0.30780471671353027,sain,3,1,i,0.08855678223721952,15.739820341231988,ictus,613.2110631204692,974.5253924512565,2876.4882206612447
81,sain,0.30780471671353027,sain,3,1,n,0.06505960800153865,15.816628536351367,ictus,701.32772027208,992.7293264244126,2507.3677705899545
82,"riimuka,",1.4371275684246996,rii,2,1,r,0.10206891807860252,15.900192799391437,ictus,831.1210335896991,2220.964552581133,2513.352198308857
83,"riimuka,",1.4371275684246996,rii,2,1,iː,0.2755656348352513,16.089010075848364,off,919.370122225839,1501.2856478623296,2649.791639041095
84,"riimuka,",1.4371275684246996,mu,2,0,m,0.09158188827328217,16.27258383740263,ictus,593.9008151315421,954.9405926622017,2536.1047690414525
85,"riimuka,",1.4371275684246996,mu,2,0,u,0.20625157944724393,16.421500571262897,ictus,831.2801740378793,1628.5650048917921,2431.605273199601
86,"riimuka,",1.4371275684246996,"ka,",2,0,k,0.13693752405923476,16.593095123016134,ictus,766.0530884787021,1301.0927116024386,2595.0224854760377
87,"riimuka,",1.4371275684246996,"ka,",2,0,a,0.6247220237310849,16.973924896911292,off,846.1971610012281,1015.2264928845851,2490.520700152574
88,riimukast,1.0367254290916463,rii,2,1,r,0.11338065158386001,17.342976234568766,ictus,762.4041089375734,1330.6183931950377,2540.810389779356
89,riimukast,1.0367254290916463,rii,2,1,iː,0.25566225357145456,17.527497687146422,ictus,814.0820506361086,1396.455009729905,2538.5578753659433
90,riimukast,1.0367254290916463,mu,1,0,m,0.1024092813059454,17.706533454585124,off,827.3442020635305,1424.023742500289,2433.1385433588184
91,riimukast,1.0367254290916463,mu,1,0,u,0.15108956916099459,17.833282879818594,off,567.8052782283634,1746.8288651903163,2475.075255647133
92,riimukast,1.0367254290916463,kast,3,1,k,0.10665145456415104,17.962153391681166,ictus,586.7248092278022,2570.7960949573257,2863.0006182984025
93,riimukast,1.0367254290916463,kast,3,1,a,0.13561215189442066,18.083285194910452,ictus,572.9867574018095,1635.4720668718592,2550.2159260195826
94,riimukast,1.0367254290916463,kast,3,1,s,0.08892600124224614,18.195554271478784,ictus,417.8480486817945,1072.7899309513045,2482.609654458777
95,riimukast,1.0367254290916463,kast,3,1,t,0.08299406576857393,18.281514304984196,ictus,596.8217251508253,1113.2262816674033,2616.5550675671434
96,sain,0.2871937026622646,sain,3,1,s,0.029308299059753296,18.33766548739836,ictus,801.2421329589811,1078.496498024464,2641.2479637437414
97,sain,0.2871937026622646,sain,3,1,a,0.0949723131851421,18.399805793520805,off,805.1363280380101,1141.1992809302008,2507.784383230428
98,sain,0.2871937026622646,sain,3,1,i,0.08065653926829341,18.487620219747527,off,613.5837720600023,1155.9815697105046,1631.8974270820818
99,sain,0.2871937026622646,sain,3,1,n,0.08225655114907582,18.569076764956208,ictus,802.2366528024769,1610.973002180936,1745.8136451708724
100,"rindasõl´ge,",1.320460172681397,rin,2,1,r,0.06660355516574867,18.64350681811362,ictus,768.0882884300349,1918.7546203552472,2230.3762965403434
101,"rindasõl´ge,",1.320460172681397,rin,2,1,i,0.16792875775942306,18.760772974576206,ictus,759.7869035556366,1722.634220616008,2494.8785321246783
102,"rindasõl´ge,",1.320460172681397,rin,2,1,n,0.14998169668160344,18.919728201796723,ictus,843.7465900015576,1464.530209068925,1943.9778356708932
103,"rindasõl´ge,",1.320460172681397,da,1,0,d,0.062248200869571946,19.025843150572307,off,599.1180119328549,924.9268613048832,2522.9592208174963
104,"rindasõl´ge,",1.320460172681397,da,1,0,a,0.2165495809068716,19.16524204146053,off,568.8310307103768,1743.0585435049777,2576.9227388459035
105,"rindasõl´ge,",1.320460172681397,sõl´,2,0,s,0.10072052154195177,19.323877092684942,ictus,545.7284555519167,977.8011344265909,2147.82219423139
106,"rindasõl´ge,",1.320460172681397,sõl´,2,0,(õ) ɵ,0.18700000000000117,19.467737353455917,ictus,451.9043760446503,959.7799632361356,2581.766056619873
107,"rindasõl´ge,",1.320460172681397,sõl´,2,0,l,0.16267490686800912,19.642574806889925,ictus,896.3901791865159,1522.6754101941406,2719.4304865713307
108,"rindasõl´ge,",1.320460172681397,sõl´,2,0,(´) ɡ,0.03557040049689775,19.741697460572375,ictus,716.6723981489237,1612.0129795231608,2340.9674894087457
109,"rindasõl´ge,",1.320460172681397,"ge,",2,0,(g) e,0.1711825523913184,19.845073937016487,off,564.274469086124,2101.9926198627877,2231.849646084045
110,rindasõlesta,1.9033207859769234,rin,2,1,r,0.11782695164597712,20.402048515330087,ictus,654.7044873600302,1943.1251888170614,2390.9756639227826
111,rindasõlesta,1.9033207859769234,rin,2,1,i,0.18896775263976906,20.55544586747296,ictus,788.1814301539845,2227.080066642365,2589.3726790811006
112,rindasõlesta,1.9033207859769234,rin,2,1,n,0.19563720273293583,20.747748345159316,ictus,1003.2632782102252,1965.3312211695118,2509.2636890776885
113,rindasõlesta,1.9033207859769234,da,1,0,d,0.057801900807458395,20.87446789692951,off,723.0479707784331,2055.70005728443,2561.389139069672
114,rindasõlesta,1.9033207859769234,da,1,0,a,0.23120760322983713,21.018972648948157,ictus,434.93709464059674,1868.8946070657364,2808.67316399701
115,rindasõlesta,1.9033207859769234,sõ,1,0,s,0.10893435152175002,21.18904362632395,ictus,618.3203713170064,1335.6041223107186,2344.465065150157
116,rindasõlesta,1.9033207859769234,sõ,1,0,(õ) ɵ,0.360150305031091,21.423585954600373,ictus,749.7827358427053,1304.8496332376003,1523.105933445161
117,rindasõlesta,1.9033207859769234,les,2,1,l,0.06002505083851517,21.633673632535178,off,751.4848881199508,1748.5785756504683,2474.0932435197938
118,rindasõlesta,1.9033207859769234,les,2,1,e,0.1382707581453424,21.732821537027107,off,595.8869389562558,1359.0861830083156,2074.899376351327
119,rindasõlesta,1.9033207859769234,les,2,1,s,0.12406094551927893,21.863987388859414,off,594.5022417963423,1427.7590706232024,2060.378386475065
120,rindasõlesta,1.9033207859769234,ta,1,0,t,0.1400584519565342,21.996047087597322,ictus,592.835273445726,1450.5365345962396,2186.1251020307404
121,rindasõlesta,1.9033207859769234,ta,1,0,a,0.18037951190843415,22.156266069529806,ictus,585.7632795182735,1401.3849909800426,2462.3976303207455
122,"sõmera,",1.1157920980865477,sõ,1,1,s,0.18702159386763384,22.33996662241784,ictus,671.6639928906143,2148.2017993788863,2816.8711928981243
123,"sõmera,",1.1157920980865477,sõ,1,1,(õ) ɵ,0.42462165593171974,22.64578824731752,off,945.2785938278416,1488.924052299401,1594.8581374555674
124,"sõmera,",1.1157920980865477,me,1,0,m,0.10004175139752647,22.90811995098214,ictus,542.5041458478947,1839.3967744443771,2410.6305727209365
125,"sõmera,",1.1157920980865477,me,1,0,(e) ɛ,0.24676965344722745,23.08152565340452,ictus,563.1095630820288,1525.9429154742677,2550.685061214953
126,"sõmera,",1.1157920980865477,"ra,",2,0,r,0.05557875077640162,23.23269985551633,off,565.0775989543473,1516.254398430153,2728.0877188640875
127,"sõmera,",1.1157920980865477,"ra,",2,0,a,0.10175869266603854,23.311368577237552,off,563.7816835958145,1411.1505741048186,2585.4161716730314
128,sõmerast,1.1626111616722241,sõ,1,0,s,0.1034007308980982,23.808758251331,ictus,756.2743276878083,1530.245867081671,2382.485885413846
129,sõmerast,1.1626111616722241,sõ,1,0,(õ) ɵ,0.37452397404587856,24.04772060380299,ictus,768.9178708218951,1679.5649049828303,2534.807378628468
130,sõmerast,1.1626111616722241,me,1,0,m,0.08812795977690158,24.279046570714378,off,1233.608925930389,2437.6890140204337,3037.1983727207585
131,sõmerast,1.1626111616722241,me,1,0,(e) ɛ,0.18981406721179184,24.418017584208727,off,531.9045319003519,1523.6631590759491,2590.6645280183766
132,sõmerast,1.1626111616722241,rast,3,1,r,0.09829657052039309,24.56207290307482,ictus,663.8695447531358,1604.1933283286317,2861.2459103739143
133,sõmerast,1.1626111616722241,rast,3,1,a,0.1593082349813244,24.690875305825678,ictus,543.4511243724784,816.6541298068298,1579.87601701074
134,sõmerast,1.1626111616722241,rast,3,1,s,0.1018175154591745,24.821438181045927,ictus,825.3427575180372,999.5145789539988,2437.531257246571
135,sõmerast,1.1626111616722241,rast,3,1,t,0.04732210877866194,24.896007993164844,ictus,669.7939606906523,976.6286848385623,2337.0428562401958
136,sain,0.29150017464667854,sain,3,1,s,0.056164285779161105,24.947751190443757,ictus,653.9221719109796,980.7549311280131,2338.236158403435
137,sain,0.29150017464667854,sain,3,1,a,0.09199999999999875,25.021833333333337,off,605.4714920736893,1329.107559896339,2544.3720349611544
138,sain,0.29150017464667854,sain,3,1,i,0.05450000000000088,25.095083333333335,off,805.2178906721251,1446.1559938729083,1986.5122250258185
139,sain,0.29150017464667854,sain,3,1,n,0.08883588886751781,25.166751277767098,ictus,863.5091133121982,1356.4644346994,1562.3563364683844
140,"soolavakka,",1.3215157846218482,soo,2,1,s,0.10477692292386465,25.26355768366279,ictus,833.6625549195204,1618.9386491528123,2723.053298623977
141,"soolavakka,",1.3215157846218482,soo,2,1,oː,0.3324733390461567,25.4821828146478,ictus,905.5690437698407,1574.262851723725,2560.8168171167604
142,"soolavakka,",1.3215157846218482,la,1,0,l,0.07456981211892,25.685704390230335,off,495.308397678867,1515.665189995397,2337.432860343513
143,"soolavakka,",1.3215157846218482,la,1,0,a,0.21354082561326493,25.82975970909643,ictus,606.1383660526736,1192.5820717502215,2548.9887676173576
144,"soolavakka,",1.3215157846218482,vak,3,1,v,0.06779073828992566,25.970425491048026,ictus,588.869410427776,1139.7901167693656,2265.2969874908467
145,"soolavakka,",1.3215157846218482,vak,3,1,a,0.12880240275085697,26.068722061568415,ictus,601.4192753271401,1051.159755504542,2513.8750024770566
146,"soolavakka,",1.3215157846218482,vak,3,1,k,0.1818228821808745,26.22403470403428,ictus,922.0732310440908,1359.3741063530474,2006.4945870733766
147,"soolavakka,",1.3215157846218482,"ka,",2,0,(k) a,0.21773886169798473,26.423815575973713,off,759.038988354294,1360.4926812918884,2463.9140973188437
148,soolavakast,1.4548857600402805,soo,3,1,s,0.14457387425470714,26.604971943950055,ictus,940.570840394673,1445.1761495118376,2411.641905195175
149,soolavakast,1.4548857600402805,soo,3,1,oː,0.3505759410407876,26.852546851597804,ictus,801.9361510286008,1387.8994600552971,2490.1959934998704
150,soolavakast,1.4548857600402805,la,1,1,l,0.049389414869772,27.052529529553084,off,764.6945966000832,1546.3281865813321,2570.378633601678
151,soolavakast,1.4548857600402805,la,1,1,a,0.23771108142140207,27.19607977769867,ictus,603.174207629953,1080.9053302040688,2084.2866378360354
152,soolavakast,1.4548857600402805,va,2,0,v,0.05906067352275812,27.34446565517075,ictus,579.5252350788086,1101.182235990997,2392.0277507277897
153,soolavakast,1.4548857600402805,va,2,0,a,0.16077627792305904,27.454384130893658,ictus,629.5119402347194,1130.2292237565175,1932.0524410869255
154,soolavakast,1.4548857600402805,kast,2,0,k,0.17718202056826726,27.623363280139323,ictus,809.9230611599642,1385.551967619918,2482.460290896566
155,soolavakast,1.4548857600402805,kast,2,0,a,0.11812134704551269,27.771014963946214,off,687.9476159560684,1183.9878209773824,1901.0948727490409
156,soolavakast,1.4548857600402805,kast,2,0,s,0.07546641616796279,27.86780884555295,off,936.6257350560911,1445.7453882880127,2603.0820022960174
157,soolavakast,1.4548857600402805,kast,2,0,t,0.08202871322605176,27.946556410249958,off,1032.2821008460144,1442.606870792063,2474.820230483571
158,"vaisiküisi,",1.3537717501911253,vai,2,1,v,0.05892650488677731,28.017034019306372,ictus,936.2641491080229,1430.717925643142,2066.2490260779723
159,"vaisiküisi,",1.3537717501911253,vai,2,1,a,0.1427299610133268,28.117862252256423,ictus,746.816834761139,1421.622026965929,2199.4830065891965
160,"vaisiküisi,",1.3537717501911253,vai,2,1,i,0.11976192131003316,28.249108193418103,ictus,979.5291284615898,1634.682084628894,2620.117446144582
161,"vaisiküisi,",1.3537717501911253,si,2,0,s,0.12796479263263905,28.37297155038944,ictus,951.378160456349,1688.5510709344264,2269.6774280251675
162,"vaisiküisi,",1.3537717501911253,si,2,0,i,0.2050717830651223,28.53948983823832,off,869.5482615009744,1271.6603648286973,2380.060723195394
163,"vaisiküisi,",1.3537717501911253,küi,2,1,k,0.09515330734221905,28.689602383441994,ictus,596.9208351224614,1366.1015416504092,2026.193215060162
164,"vaisiküisi,",1.3537717501911253,küi,2,1,(ü) yi,0.30344908080073907,28.88890357751347,ictus,542.5265137427076,1304.3848542061114,2576.9262218645486
165,"vaisiküisi,",1.3537717501911253,küi,2,1,(i) s,0.098663832199545,29.089960034013615,ictus,551.3464134856894,1040.8915931606034,2812.915109238461
166,"vaisiküisi,",1.3537717501911253,"si,",2,0,(s) i,0.20205056694072354,29.240317233583745,off,564.4302913840895,1207.174943971144,1904.555227953498
167,vaisiküisist,1.3464742262392626,vai,2,1,v,0.06697467412408997,29.374829854116154,ictus,471.4533535324643,866.5812068324964,2784.8513926135406
168,vaisiküisist,1.3464742262392626,vai,2,1,a,0.16765615653049082,29.492145269443444,ictus,407.43703064185723,1252.0478134741588,2927.5459147064767
169,vaisiküisist,1.3464742262392626,vai,2,1,i,0.16499494769667677,29.658470821557028,ictus,566.816824759164,1118.1534396671213,2561.2316745043254
170,vaisiküisist,1.3464742262392626,si,2,0,s,0.06386901201161521,29.772902801411174,off,576.4729478107135,1172.7227019674567,2599.75612180592
171,vaisiküisist,1.3464742262392626,si,2,0,i,0.21023549787157236,29.909955056352768,ictus,819.9166213932058,1369.0631894618757,2501.0781624236065
172,vaisiküisist,1.3464742262392626,küi,2,1,k,0.07983626501452079,30.054990937795814,ictus,624.5222911357884,1201.281932910483,2590.2545784080885
