Filename,label,segment,syllable, h1 , h2 , h1-h2 
41,ictus,ai,1,-6.881833626,-2.302683992,-4.579149634
41,ictus,al,1,9.820972743,6.005086034,3.815886709
41,ictus,al,1,2.806190703,2.380642326,0.425548377
41,ictus,a,1,3.71041483,2.480257559,1.230157271
41,ictus,e,1,-6.475703298,11.08485677,-17.56056007
41,ictus,ai,1,-9.398889426,2.5816758,-11.98056523
41,ictus,iː,1,5.211401832,12.74933238,-7.537930552
41,ictus,i,1,6.224951139,7.763974161,-1.539023022
41,ictus,i,1,-2.255788273,12.85025246,-15.10604074
41,ictus,ɵ,1,0.504919408,14.94501939,-14.44009998
41,ictus,oː,1,-2.081503839,17.69095192,-19.77245576
41,ictus,oː,1,-4.821086168,14.67097465,-19.49206081
41,ictus,ai,1,-6.175426721,-2.27755563,-3.897871091
41,ictus,ai,1,-0.263471414,10.65281407,-10.91628548
41,ictus,y,1,7.365604768,4.031180958,3.334423809
41,ictus,y,1,2.641792076,9.12351583,-6.481723754
41,ictus,y,1,-3.404041556,7.252032606,-10.65607416
41,ictus,y,1,4.077284526,8.002917669,-3.925633143
41,ictus,ai,1,1.427785502,10.82157065,-9.393785147
41,ictus,a,1,7.02235025,13.04096045,-6.018610196
41,ictus,a,1,-9.487614525,3.532767714,-13.02038224
41,ictus,a,1,2.306994745,10.10874602,-7.801751275
41,ictus,a,1,-4.973815789,6.350233568,-11.32404936
41,ictus,a,1,5.616998766,12.27926472,-6.662265955
41,ictus,u,1,4.565123391,8.075149374,-3.510025984
41,ictus,i,1,-8.197199613,6.786518298,-14.98371791
41,ictus,e,1,-6.605602414,1.961725609,-8.567328023
55,ictus,a,1,-15.24447095,1.849471603,-17.09394256
55,ictus,u,1,-20.93778651,-3.396666475,-17.54112004
55,ictus,a,1,-29.77874231,3.415362601,-33.19410491
55,ictus,u,1,-22.69282669,2.008097667,-24.70092436
55,ictus,uː,1,-18.44680911,3.372446629,-21.81925574
55,ictus,iː,1,-14.41941001,1.108055149,-15.52746516
55,ictus,i,1,-11.99538972,4.938159916,-16.93354964
55,ictus,eː,1,-13.02837018,3.662209601,-16.69057979
55,ictus,ɵ,1,-16.42734616,-0.169888998,-16.25745716
55,ictus,l,1,-11.39090305,3.528608587,-14.91951164
55,ictus,a,1,-17.29039803,-2.61915527,-14.67124276
55,ictus,eː,1,-14.386261,6.127055929,-20.51331693
55,ictus,i,1,-12.87675431,5.746689865,-18.62344417
55,ictus,y,1,-17.51060681,-1.599504559,-15.91110225
55,ictus,y,1,-15.35091675,-0.025769317,-15.32514743
55,ictus,i,1,-14.48560906,2.788426306,-17.27403537
55,ictus,ʎ,1,-12.62054764,2.019313379,-14.63986102
55,ictus,ʎ,1,-22.32538184,-4.748087599,-17.57729424
55,ictus,a,1,-16.08844451,2.220684931,-18.30912944
55,ictus,a,1,-13.48625095,3.760654698,-17.24690565
55,ictus,l,1,-11.09787575,5.394516948,-16.49239269
55,ictus,a,1,-20.62577063,3.518135267,-24.1439059
55,ictus,u,1,-17.88910519,2.93972471,-20.8288299
69,ictus,a,1,-17.61309276,-0.6517599,-16.96133286
69,ictus,e,1,-28.40918353,-2.619235329,-25.7899482
69,ictus,øː,1,-16.53351899,6.87611035,-23.40962934
69,ictus,o,1,-22.88685045,-0.958408109,-21.92844234
69,ictus,i,1,8.326766165,-3.27069017,11.59745634
69,ictus,u,1,-18.33860689,4.399228434,-22.73783533
77,ictus,o,1,30.75419262,28.81968935,1.934503275
77,ictus,o,1,18.69095584,33.74529348,-15.05433764
77,ictus,e,1,13.12151688,39.4993774,-26.37786052
92,ictus,i,1,-15.02496742,4.979564169,-20.00453158
92,ictus,ul,1,0.005259415,5.182581645,-5.17732223
92,ictus,a,1,-2.657510839,-3.303408206,0.645897367
92,ictus,a,1,5.594489451,-10.01941497,15.61390442
92,ictus,ɵi,1,-10.22004507,13.15863228,-23.37867734
92,ictus,aː,1,1.032636682,-3.999688932,5.032325615
92,ictus,a,1,-1.897433759,3.227731789,-5.125165548
92,ictus,ɵ,1,-19.60270445,-14.61491113,-4.98779332
92,ictus,i,1,10.2690459,5.13371126,5.135334636
92,ictus,ul,1,3.600687263,9.592332504,-5.991645241
92,ictus,i,1,8.122952156,9.11389439,-0.990942234
92,ictus,iiː,1,-25.40562571,8.872630868,-34.27825658
92,ictus,uiː,1,-17.11904952,7.08789947,-24.20694899
92,ictus,ɵi,1,8.998562093,5.589504736,3.409057358
92,ictus,ɵː,1,8.145714393,1.57791899,6.567795404
94,ictus,i,1,6.697773178,5.571969328,1.125803849
94,ictus,a,1,10.40874271,10.26033555,0.148407161
94,ictus,ul,1,-10.37714139,4.881656564,-15.25879795
94,ictus,ei,1,-15.40171536,-0.363880058,-15.0378353
94,ictus,ul,1,3.93374453,4.408939145,-0.475194615
94,ictus,u,1,-19.22462709,9.656239475,-28.88086656
94,ictus,eil,1,-5.322766871,8.524869084,-13.84763595
94,ictus,æi,1,7.250030842,8.987649269,-1.737618427
94,ictus,uiː,1,-3.874401497,11.55460869,-15.42901018
94,ictus,æ,1,-14.48889664,2.090771399,-16.57966804
94,ictus,a,1,-17.62303664,1.603970618,-19.22700725
94,ictus,a,1,3.783929071,7.35359122,-3.569662149
94,ictus,yyː,1,9.440237606,2.637218764,6.803018843
94,ictus,ul,1,-10.01515237,4.951195592,-14.96634796
94,ictus,a,1,-18.04903884,2.69455942,-20.74359826
94,ictus,a,1,5.260162082,2.737574086,2.522587996
94,ictus,e,1,-12.63764997,6.301696939,-18.93934691
94,ictus,e,1,-21.67789504,-3.020843821,-18.65705122
94,ictus,a,1,-1.638959642,3.593262354,-5.232221996
94,ictus,yyː,1,4.602698335,4.426041869,0.176656466
94,ictus,iː,1,-6.588133442,12.22924357,-18.81737701
94,ictus,iː,1,-14.79360061,12.34385063,-27.13745124
94,ictus,a,1,-17.34619046,-0.942141203,-16.40404926
94,ictus,ae,1,3.657486795,11.86829448,-8.210807682
94,ictus,ɵ,1,4.495296409,13.03550823,-8.540211818
94,ictus,i,1,-14.33472179,14.18927371,-28.5239955
94,ictus,u,1,-9.077470517,6.596206625,-15.67367714
94,ictus,ɵ,1,5.794476338,12.2584402,-6.463963859
94,ictus,i,1,-11.21096422,7.026444354,-18.23740858
94,ictus,u,1,-8.644753972,8.563108083,-17.20786206
9,off,i,1,-20.92796375,3.503115494,-24.43107924
9,off,a,1,-12.25944104,-0.591753739,-11.6676873
9,off,yi,1,-5.728627536,11.37673083,-17.10535837
9,off,æː,1,-23.02017518,-5.722538629,-17.29763655
9,off,ul,1,-30.35191482,7.240713108,-37.59262793
9,off,æi,1,-24.51947946,-4.662730507,-19.85674896
9,off,a,1,-11.85249037,4.450272714,-16.30276309
9,off,i,1,-3.90708086,12.17658576,-16.08366662
9,off,a,1,-21.3894534,-3.86945425,-17.51999915
9,off,i,1,-4.268031311,9.294116931,-13.56214824
9,off,aː,1,-10.64126075,-9.073866836,-1.56739391
9,off,i,1,-10.68529282,10.59503939,-21.28033221
9,off,u,1,-21.97382164,2.327548814,-24.30137046
9,off,a,1,-20.33522159,-1.784659296,-18.55056229
9,off,u,1,-16.5418761,-7.719066547,-8.82280955
9,off,oː,1,-12.46522307,2.589739092,-15.05496216
18,off,a,1,22.87538744,38.39527037,-15.51988293
18,off,i,1,20.20476916,43.2503185,-23.04554934
18,off,a,1,23.11186728,35.68545432,-12.57358704
18,off,o,1,24.66082709,36.17898339,-11.5181563
18,off,auː,1,38.1219477,25.67277099,12.44917671
18,off,el,1,711,711,711
18,off,il,1,23.24312116,39.12110886,-15.8779877
18,off,il,1,24.9554814,39.24860913,-14.29312773
18,off,o,1,16.16487957,32.87649387,-16.71161429
18,off,aː,1,21.59148003,29.33998163,-7.748501597
18,off,o,1,19.27719709,26.25974448,-6.982547389
18,off,u,1,20.22814968,33.62266369,-13.39451401
18,off,o,1,18.44686104,35.40236495,-16.95550391
18,off,æ,1,8.637681997,34.3298666,-25.6921846
18,off,æi,1,18.80757219,39.72593647,-20.91836428
18,off,oː,1,12.35910317,33.90140786,-21.54230468
18,off,aː,1,7.066363605,39.397761,-32.3313974
18,off,eiː,1,12.07110768,34.11399285,-22.04288517
18,off,o,1,22.77759869,33.16756443,-10.38996574
18,off,a,1,13.68848376,22.95022679,-9.261743034
18,off,a,1,18.17320886,33.04350191,-14.87029305
18,off,a,1,9.936743878,32.23221524,-22.29547136
18,off,u,1,15.18229701,34.91184641,-19.7295494
18,off,u,1,11.98475653,29.76354696,-17.77879044
18,off,ol,1,22.19744322,32.37537016,-10.17792695
18,off,o,1,19.90572106,32.08129497,-12.17557391
18,off,æːl,1,27.9529201,16.56295809,11.38996201
18,off,oː,1,20.20839488,43.06725776,-22.85886287
18,off,e,1,21.20959109,33.72966108,-12.52006999
18,off,o,1,14.03247346,37.8226667,-23.79019324
18,off,o,1,21.15647098,41.82383096,-20.66735997
18,off,o,1,16.50414064,30.74664233,-14.24250169
18,off,a,1,18.36218638,31.70411926,-13.34193288
18,off,æ:,1,15.01191262,36.02174886,-21.00983624
18,off,a,1,32.87066054,29.74318778,3.12747276
18,off,u,1,18.73453162,38.32202675,-19.58749513
18,off,o,1,13.00734483,33.16771666,-20.16037183
18,off,æ,1,16.61299347,26.83202959,-10.21903612
18,off,a,1,31.63858841,36.48947172,-4.850883303
18,off,aː,1,8.862121332,32.04398304,-23.18186171
18,off,aː,1,15.69009069,32.9128497,-17.22275901
18,off,a,1,24.9307321,37.55460603,-12.62387393
18,off,i,1,24.1027499,41.21564128,-17.11289138
18,off,eː,1,23.06905759,39.48200036,-16.41294277
18,off,aʎ,1,19.24478754,36.75811616,-17.51332862
18,off,i,1,20.53836812,38.45312392,-17.9147558
18,off,iː,1,38.25389549,28.62418309,9.6297124
18,off,ɵ,1,20.24838237,35.98988257,-15.7415002
18,off,el,1,18.71291897,30.72917546,-12.01625649
18,off,ɵ,1,22.3221239,41.35152103,-19.02939712
18,off,el,1,19.70063444,30.26102246,-10.56038802
18,off,eiː,1,34.17694864,44.27779253,-10.10084389
18,off,o,1,20.89749703,33.69024451,-12.79274747
18,off,al,1,27.779598,46.36951216,-18.58991415
18,off,a,1,22.40370908,33.24288447,-10.83917539
65,off,i,1,5.55553016,7.95040687,-2.39487671
65,off,a,1,-14.62672869,7.846377463,-22.47310615
65,off,a,1,-0.164661003,-0.535891068,0.371230065
65,off,a,1,-6.993466804,8.681479215,-15.67494602
65,off,iiː,1,-10.76816616,11.82143678,-22.58960294
65,off,a,1,-2.849090383,0.275224865,-3.124315247
65,off,o,1,-9.178166942,11.73015149,-20.90831843
65,off,a,1,-16.02586346,-2.592938183,-13.43292528
65,off,o,1,-13.58388137,10.85515143,-24.4390328
65,off,o,1,-13.52885761,3.543141418,-17.07199903
65,off,u,1,-0.004948596,9.698280841,-9.703229437
65,off,øøː,1,711,711,711
65,off,eil,1,-2.348937238,11.28150718,-13.63044442
65,off,øː,1,-4.312763105,9.33143721,-13.64420032
65,off,u,1,-4.456086513,6.161861076,-10.61794759
65,off,aː,1,-9.443031118,-3.069452112,-6.373579007
65,off,ol,1,-3.255645544,-4.249351182,0.993705638
65,off,ul,1,-7.955773934,11.9362218,-19.89199573
65,off,y,1,-3.621187596,6.114384141,-9.735571737
65,off,a,1,-15.85223896,5.369906471,-21.22214543
41,off,al,1,-9.184356686,3.318230786,-12.50258747
41,off,ai,1,4.706296154,11.04630808,-6.340011926
41,off,iː,1,-7.123316192,6.823619964,-13.94693616
41,off,iː,1,-6.834254857,7.273924364,-14.10817922
41,off,ai,1,2.21238374,9.139306917,-6.926923177
41,off,ɵ,1,-8.677493484,-1.023808593,-7.65368489
41,off,ɵ,1,-0.712926458,9.633276852,-10.34620331
41,off,ai,1,2.748741427,15.58276667,-12.83402524
41,off,oː,1,0.896800139,14.26213523,-13.36533509
41,off,oː,1,-5.572937452,12.18345163,-17.75638908
41,off,ai,1,8.979514634,6.072434102,2.907080531
41,off,y,1,2.642421736,8.566441554,-5.924019818
41,off,a,1,-6.912885692,-0.682884311,-6.23000138
41,off,y,1,3.042625304,7.354891763,-4.31226646
41,off,ai,1,-9.873231673,3.522692973,-13.39592465
41,off,a,1,12.94716985,8.564875592,4.382294258
41,off,a,1,3.279264216,2.796323954,0.482940262
41,off,ai,1,-11.10187099,-0.650229051,-10.45164194
55,off,iː,1,-28.757876,-2.002836441,-26.75503956
55,off,i,1,711,711,711
55,off,i,1,-12.44440736,5.076594982,-17.52100234
55,off,y,1,-25.84233896,-1.482849362,-24.3594896
55,off,ʎ,1,-21.88684469,1.044745123,-22.93158981
55,off,u,1,-15.96004279,2.05487274,-18.01491553
55,off,a,1,-24.31401695,4.762658233,-29.07667518
69,off,øː,1,-21.54326279,-0.846033922,-20.69722887
69,off,o,1,-16.56174711,5.789872018,-22.35161913
69,off,u,1,-16.31501305,1.130893147,-17.44590619
77,off,o,1,41.68049274,37.32443706,4.356055679
77,off,ʎ,1,711,711,711
77,off,o,1,38.76402493,31.33991081,7.42411412
77,off,ʎ,1,22.62846073,39.82369827,-17.19523753
77,off,o,1,20.55198648,37.85010709,-17.2981206
77,off,ʎ,1,27.77302403,43.28504312,-15.51201909
77,off,eː,1,20.32420616,40.30541968,-19.98121351
77,off,ɵ,1,38.71238915,37.10858107,1.603808071
77,off,u,1,39.15761474,36.00749973,3.150115011
